설비ID,타입,공기온도,공정온도,회전수,토크,공구마모,고장여부
L0180,L,300.5,309.6,1602,53.0,94,0
L0181,L,300.5,310.6,1366,37.2,205,0
L0182,L,298.2,308.6,1286,33.7,110,0
L0183,L,300.8,311.6,1686,38.2,188,0
M0184,M,299.7,308.9,1193,47.6,33,0
L0185,L,298.8,308.5,1666,37.7,231,0
M0186,M,298.4,305.7,1454,35.0,120,0
L0187,L,305.3,314.7,1461,38.0,64,0
L0188,L,299.5,309.0,1573,27.3,60,0
L0189,L,297.1,306.1,1604,44.0,66,0
H0190,H,298.6,308.8,1351,22.1,91,0
M0191,M,299.9,309.8,1629,35.6,179,0
L0192,L,301.1,308.8,1520,47.6,237,0
M0193,M,301.1,311.3,1273,43.0,167,0
L0194,L,301.4,310.5,1469,45.9,136,0
L0195,L,298.7,309.2,1748,39.3,112,0
L0196,L,300.7,309.4,1801,51.7,207,0
H0197,H,298.2,308.2,1629,49.2,212,1
M0198,M,298.8,308.5,1285,44.5,73,0
M0199,M,298.2,308.5,1588,49.3,238,0
L0200,L,297.6,307.7,1653,47.5,98,0
