WO_NO,EQP_TAG,DETC_DT,STRT_DT,END_DT,MNT_TYPE,FAIL_MODE,DOWN_MIN,PART_CHG,WRKR_ID,WRK_TEAM,REMARK
WO-2024-00018,P1-CC1-SEG04,2024-01-03 23:40,2024-01-04 02:55,2024-01-04 04:14,TBM,,0,N,MT-1007,MT-B,
WO-2024-00019,P1-CR1-RCL01,2024-01-03 23:55,2024-01-04 00:46,2024-01-04 04:17,TBM,,210,N,MT-1011,MT-B,
WO-2024-00020,P1-BF2-HSV01,2024-01-04 01:11,2024-01-04 04:25,2024-01-04 09:16,TBM,,0,Y,MT-1015,MT-C,
WO-2024-00021,P1-CR1-PMP03,2024-01-04 06:18,2024-01-04 07:38,2024-01-04 14:13,BM,UNB,394,N,MT-1001,MT-A,"3호기 재발, 진동 상승"
WO-2024-00022,P1-SP2-SNM01,2024-01-04 07:25,2024-01-04 08:38,2024-01-04 10:02,TBM,,70,Y,MT-1001,MT-A,계획 점검 수행
WO-2024-00023,P1-BF2-CAS01,2024-01-04 14:06,2024-01-04 15:41,2024-01-04 19:13,TBM,,211,Y,MT-1001,MT-A,정기점검 - 이상없음
WO-2024-00024,P1-CC2-SEG03,2024-01-04 14:58,2024-01-04 16:31,2024-01-04 18:05,TBM,,85,N,MT-1003,MT-A,
WO-2024-00025,P1-SP2-EXF01-MTR,2024-01-05 04:03,2024-01-05 06:00,2024-01-05 09:21,TBM,,170,N,MT-1019,MT-D,  월간 점검 완료 
WO-2024-00026,P1-CR1-PMP02,2024-01-05 15:01,2024-01-05 15:28,2024-01-05 17:28,TBM,,50,N,MT-1008,MT-B,정기점검 실시
WO-2024-00027,P1-SP1-EXF01,2024-01-05 15:27,2024-01-05 18:02,2024-01-05 22:10,TBM,,0,N,MT-1011,MT-B,  점검 이상없음 
WO-2024-00028,P1-BF2-HSV03,2024-01-05 23:25,2024-01-06 00:10,2024-01-06 01:12,TBM,,50,Y,MT-1022,MT-D,"3호기 재발, 점검 이상없음"
WO-2024-00029,P1-SM1-BOF01,2024-01-06 03:00,2024-01-06 08:37,2024-01-06 10:07,BM,ETC,60,N,MT-1003,MT-A,현상 재현 안됨
WO-2024-00030,P1-SP2-CRS01,2024-01-06 06:30,2024-01-06 07:46,2024-01-06 12:25,TBM,,0,N,MT-1014,MT-C,계획 점검 수행
WO-2024-00031,P1-CR1-TCM01,2024-01-06 06:43,2024-01-06 08:23,2024-01-06 13:11,TBM,,0,N,MT-1014,MT-C,  순회점검 후속 
WO-2024-00032,P1-BF2-HSV02,2024-01-07 07:59,2024-01-07 11:29,2024-01-07 15:18,TBM,,0,N,MT-1020,MT-D,"2호기 재발, 월간 점검 완료"
WO-2024-00033,P1-CC2-PMP02,2024-01-07 15:22,2024-01-07 20:43,2024-01-07 22:53,BM,,0,N,MT-1019,MT-D,현상 재현 안됨
WO-2024-00034,P1-SP2-EXF01,2024-01-07 23:00,2024-01-08 02:08,2024-01-08 04:18,BM,ETC,129,N,MT-1008,MT-B,재점검 필요
WO-2024-00035,P1-SP1-IGF01,2024-01-08 00:43,2024-01-08 03:57,2024-01-08 05:52,TBM,,0,N,MT-1017,MT-C,계획 점검 수행
WO-2024-00036,P1-SM1-BOF02,2024-01-08 06:15,2024-01-08 11:22,2024-01-08 19:20,BM,ETC,478,N,MT-1002,MT-A,원인 미상
WO-2024-00037,P1-CC1-SEG04,2024-01-08 06:54,2024-01-08 09:50,2024-01-08 10:34,BM,LUB,25,N,MT-1002,MT-A,
WO-2024-00038,P1-BF1-BLW01,2024-01-08 07:49,2024-01-08 08:56,2024-01-08 13:01,TBM,,220,N,MT-1001,MT-A,정기점검 실시
WO-2024-00039,P1-SP1-EXF01-MTR,2024-01-08 23:03,2024-01-09 00:29,2024-01-09 03:22,TBM,,160,Y,MT-1017,MT-C,계획 점검 수행
WO-2024-00040,P1-CC1-SEG02,2024-01-08 23:58,2024-01-09 02:15,2024-01-09 06:39,TBM,SEL,165,N,MT-1015,MT-C,냉각수 누설
WO-2024-00041,P1-SP1-EXF01,2024-01-09 06:00,2024-01-09 11:20,2024-01-09 12:10,BM,ETC,50,Y,MT-1007,MT-B,
WO-2024-00042,P1-SP2-MIX02,2024-01-09 07:05,2024-01-09 09:54,2024-01-09 12:47,BM,ETC,173,N,MT-1007,MT-B,"2호기 재발, 재점검 필요"
WO-2024-00043,P1-BF1-HSV02,2024-01-09 09:31,2024-01-09 09:51,2024-01-09 12:45,TBM,,0,N,MT-1009,MT-B,
WO-2024-00044,P1-SM1-CRN01,2024-01-09 14:06,2024-01-09 16:21,2024-01-09 20:15,TBM,,233,N,MT-1011,MT-B,계획 점검 수행
WO-2024-00045,P1-CR1-CRN01,2024-01-09 22:12,2024-01-10 02:14,2024-01-10 10:44,BM,LUB,155,N,MT-1021,MT-D,그리스 부족
WO-2024-00046,P1-CR1-SPM01,2024-01-10 07:07,2024-01-10 11:37,2024-01-11 00:43,BM,,0,N,MT-1013,MT-C,"1호기 재발, 원인 미상"
WO-2024-00047,P1-CR1-SPM01,2024-01-10 07:33,2024-01-14 23:06,2024-01-15 08:47,CBM,BRG,460,N,MT-1014,MT-C,  베어링 이상음 
WO-2024-00048,P1-SP1-BCV01,2024-01-10 07:51,2024-01-10 13:09,2024-01-10 19:53,BM,BRG,404,N,MT-1018,MT-C,베어링링 이상음
WO-2024-00049,P1-CC2-SEG02,2024-01-10 14:12,2024-01-10 17:18,2024-01-10 20:46,TBM,,0,N,MT-1013,MT-C,"2호기 재발, 정기점검 실시"
WO-2024-00050,P1-SP2-AGT01,2024-01-10 14:37,2024-01-18 13:21,2024-01-18 17:20,CBM,BRG,238,N,MT-1015,MT-C,
WO-2024-00051,P1-SP1-CRS01,2024-01-10 16:14,2024-01-10 17:35,2024-01-10 19:24,BM,MAL,108,N,MT-1015,MT-C,동작 불량
WO-2024-00052,P1-BF2-PCI01,2024-01-10 20:59,2024-01-10 23:47,2024-01-11 00:55,TBM,,0,N,MT-1002,MT-A,
WO-2024-00053,P1-CC2-INS01,2024-01-10 21:29,2024-01-13 10:29,2024-01-13 17:44,CBM,SEL,215,N,MT-1003,MT-A,SEAL 손상
WO-2024-00054,P1-CR1-RCL01,2024-01-11 01:57,2024-01-11 05:20,2024-01-11 05:57,BM,LUB,20,N,MT-1007,MT-B,"1호기 재발, 오일 레벨 저하"
WO-2024-00055,P1-CC1-INS01,2024-01-11 07:30,2024-01-11 11:30,2024-01-11 16:12,BM,MAL,160,N,MT-1024,MT-D,인터록 작동
WO-2024-00056,P1-CR1-TCM01,2024-01-11 07:34,2024-01-15 20:27,2024-01-16 01:14,CBM,BRG,287,N,MT-1023,MT-D,"1호기 재발, 이상음 발생"
WO-2024-00057,P1-CR1-CRN01,2024-01-11 07:45,2024-01-11 08:23,2024-01-11 12:35,TBM,,120,N,MT-1019,MT-D,"1호기 재발, 점검 이상없음"
WO-2024-00058,P1-CR1-PMP03,2024-01-11 14:03,2024-01-11 15:24,2024-01-11 16:54,TBM,,89,N,MT-1020,MT-D,점검 이상없음
WO-2024-00059,P1-SM1-LFR01,2024-01-11 14:52,2024-01-11 16:22,2024-01-11 20:57,BM,ELE,274,Y,MT-1023,MT-D,
WO-2024-00060,P1-CR1-CAL01,2024-01-11 15:19,2024-01-11 18:43,2024-01-11 20:32,TBM,,108,N,MT-1022,MT-D,
WO-2024-00061,P1-BF1-PCI01,2024-01-11 15:51,2024-01-11 19:02,2024-01-11 21:49,TBM,,150,Y,MT-1019,MT-D,TBM 점검
WO-2024-00062,P1-CC2-INS01,2024-01-11 17:35,2024-01-15 16:20,2024-01-15 22:37,CBM,,376,N,MT-1023,MT-D,확인 중
WO-2024-00063,P1-CC1-INS01,2024-01-12 07:49,2024-01-12 08:02,2024-01-12 10:49,TBM,,0,N,MT-1004,MT-A,정기점검 실시
WO-2024-00064,P1-CC2-MLD01,2024-01-12 14:06,2024-01-12 15:06,2024-01-12 18:29,TBM,,202,N,MT-1005,MT-A,"  1호기 재발, 순회점검 후속 "
WO-2024-00065,P1-BF1-PCI01,2024-01-12 23:24,2024-01-13 02:40,2024-01-13 05:19,BM,LUB,55,Y,MT-1015,MT-C,
WO-2024-00066,P1-CR1-CRN01,2024-01-13 06:19,2024-01-13 10:06,2024-01-13 11:43,BM,MAL,0,N,MT-1009,MT-B,"1호기 재발, 제어 이상"
WO-2024-00067,P1-BF1-CAS01,2024-01-13 06:45,2024-01-13 07:51,2024-01-13 10:19,TBM,,0,N,MT-1011,MT-B,TBM 점검
WO-2024-00068,P1-SP2-AGT01-MTR,2024-01-13 16:47,2024-01-13 20:18,2024-01-14 01:06,TBM,,287,N,MT-1010,MT-B,
WO-2024-00069,P1-SP1-MIX02,2024-01-13 18:32,2024-01-13 19:15,2024-01-13 21:06,TBM,,35,N,MT-1021,MT-D,계획 점검 수행
WO-2024-00070,P1-CC2-LDT01,2024-01-13 22:06,2024-01-14 01:26,2024-01-14 12:57,BM,SEL,0,N,MT-1021,MT-D,패킹 누설
WO-2024-00071,P1-SP2-CLR01,2024-01-13 23:08,2024-01-14 00:22,2024-01-14 01:51,TBM,,89,N,MT-1024,MT-D,계획 점검 수행
WO-2024-00072,P1-CC1-PMP01,2024-01-13 23:09,2024-01-14 01:14,2024-01-14 02:33,TBM,,0,N,MT-1024,MT-D,  TBM 점검 
WO-2024-00073,P1-BF1-HSV03,2024-01-14 15:58,2024-01-14 19:47,2024-01-14 22:52,TBM,,0,N,MT-1017,MT-C,"3호기 재발, TBM 점검"
WO-2024-00074,P1-SP1-AGT01,2024-01-14 22:52,2024-01-14 23:47,2024-01-15 02:38,TBM,,170,N,MT-1002,MT-A,계획 점검 수행
WO-2024-00075,P1-SP1-AGT01-MTR,2024-01-14 23:20,2024-01-15 00:20,2024-01-15 03:51,TBM,,211,N,MT-1003,MT-A,월간 점검 완료
WO-2024-00076,P1-SM1-RHD01,2024-01-15 06:35,2024-01-15 10:10,2024-01-15 13:46,BM,LUB,215,N,MT-1024,MT-D,급유 불량
WO-2024-00077,P1-CC2-INS01,2024-01-15 15:03,2024-01-15 15:33,2024-01-15 20:11,TBM,,0,Y,MT-1024,MT-D,TBM 점검
WO-2024-00078,P1-CC1-SEG01,2024-01-15 22:07,2024-01-15 22:28,2024-01-16 01:11,TBM,,110,N,MT-1009,MT-B,점검 이상없음
WO-2024-00079,P1-BF1-HSV03,2024-01-15 23:34,2024-01-16 02:45,2024-01-16 13:39,BM,,653,Y,MT-1007,MT-B,"3호기 재발, 확인 중"
WO-2024-00080,P1-SP2-DCF02,2024-01-16 08:13,2024-01-16 09:28,2024-01-16 21:11,BM,LUB,635,N,MT-1005,MT-A,"2호기 재발, 누유 확인"
WO-2024-00081,P1-SP2-SNM01,2024-01-16 23:28,2024-01-17 02:09,2024-01-17 03:52,TBM,,65,N,MT-1013,MT-C,정기점검 실시
WO-2024-00082,P1-SP2-DCF02,2024-01-16 23:44,2024-01-17 02:49,2024-01-17 05:21,TBM,,90,N,MT-1018,MT-C,"2호기 재발, 점검 이상없음"
WO-2024-00083,P1-SP2-IGF01,2024-01-17 01:58,2024-01-17 04:45,2024-01-17 05:46,TBM,,30,N,MT-1024,MT-D,  점검 이상없음 
WO-2024-00084,P1-CC1-PMP02,2024-01-17 06:57,2024-01-17 07:17,2024-01-17 09:43,TBM,,0,Y,MT-1010,MT-B,TBM 점검
WO-2024-00085,P1-CR1-SPM01-MTR,2024-01-17 11:23,2024-01-17 14:09,2024-01-17 18:48,TBM,ELE,278,N,MT-1009,MT-B,
WO-2024-00086,P1-SM1-BOF02,2024-01-17 14:14,2024-01-17 16:48,2024-01-17 18:46,TBM,LUB,100,Y,MT-1009,MT-B,급유 불량
WO-2024-00087,P1-CR1-SPM01,2024-01-17 21:30,2024-01-17 23:07,2024-01-18 04:51,BM,WER,275,N,MT-1022,MT-D,마모 진행
WO-2024-00088,P1-CC1-EMS01,2024-01-17 22:01,2024-01-18 00:16,2024-01-18 03:22,TBM,,165,N,MT-1023,MT-D,TBM 점검
WO-2024-00089,P1-CC2-PMP01,2024-01-18 13:35,2024-01-18 17:34,2024-01-18 22:06,TBM,,271,N,MT-1015,MT-C,정기점검 실시
WO-2024-00090,P1-SP2-AGT01,2024-01-18 14:02,2024-01-18 17:55,2024-01-18 18:37,BM,,0,N,MT-1015,MT-C,원인 미상
WO-2024-00091,P1-CC1-INS01,2024-01-18 18:12,2024-01-19 20:55,2024-01-19 23:27,CBM,MAL,85,N,MT-1005,MT-A,"1호기 재발, 제어 이상"
WO-2024-00092,P1-SP1-SNM01,2024-01-18 22:24,2024-01-19 00:48,2024-01-19 01:57,TBM,,68,Y,MT-1005,MT-A,TBM 점검
WO-2024-00093,P1-CC2-SCC01,2024-01-19 07:18,2024-01-19 07:51,2024-01-19 09:18,TBM,,0,Y,MT-1023,MT-D,월간 점검검 완료
WO-2024-00094,P1-CC2-TUN01,2024-01-19 15:16,2024-01-19 17:36,2024-01-19 21:38,TBM,,215,Y,MT-1020,MT-D,계획 점검 수행
WO-2024-00095,P1-CR1-PKL01,2024-01-20 06:38,2024-01-20 09:09,2024-01-20 10:17,TBM,,68,N,MT-1004,MT-A,"1호기 재발, 계획 점검 수행"
WO-2024-00096,P1-CC1-SCC01,2024-01-20 14:23,2024-01-20 17:19,2024-01-20 20:09,TBM,,70,N,MT-1003,MT-A,점검 이상없음
WO-2024-00097,P1-CC2-LDT01,2024-01-20 07:53,2024-01-20 12:09,2024-01-20 19:40,BM,SEL,365,N,MT-1006,MT-A,패킹 누설
WO-2024-00098,P1-BF1-BFR01,2024-01-20 15:56,2024-01-20 17:06,2024-01-20 21:19,TBM,,185,Y,MT-1004,MT-A,점검 이상없음
WO-2024-00099,P1-BF1-HSV02,2024-01-20 20:10,2024-01-21 00:22,2024-01-21 01:53,BM,MAL,70,N,MT-1018,MT-C,오작동 발생
WO-2024-00100,P1-SP1-EXF01,2024-01-20 22:31,2024-01-29 13:30,2024-01-29 22:13,CBM,LUB,522,N,MT-1013,MT-C,오일 레벨 저하
WO-2024-00101,P1-CC1-TUN01,2024-01-20 23:52,2024-01-21 00:34,2024-01-21 01:44,TBM,,0,N,MT-1015,MT-C,"1호기 재발, 점검 이상없음"
WO-2024-00102,P1-SP1-DCF01,2024-01-20 23:06,2024-01-20 23:54,2024-01-21 03:27,TBM,,0,N,MT-1015,MT-C,계획 점검 수행
WO-2024-00103,P1-BF2-BFR01,2024-01-21 06:56,2024-01-21 10:26,2024-01-21 11:46,TBM,MAL,79,N,MT-1010,MT-B,"1호기 재발, 동작 불량"
WO-2024-00104,P1-CR1-SPM01-MTR,2024-01-21 07:32,2024-01-21 10:09,2024-01-21 12:49,BM,ETC,105,N,MT-1008,MT-B,"1호기 재발, 특이사항"
WO-2024-00105,P1-SP2-EXF01,2024-01-21 15:06,2024-01-27 14:09,2024-01-27 17:31,CBM,ETC,201,N,MT-1009,MT-B,재점검 필요
WO-2024-00106,P1-SP2-MIX02,2024-01-21 15:09,2024-01-21 17:24,2024-01-21 18:27,TBM,LUB,63,N,MT-1010,MT-B,  오일 레벨 저하 
WO-2024-00107,P1-SP1-CLR01,2024-01-21 22:26,2024-01-22 00:05,2024-01-22 01:43,TBM,,30,N,MT-1022,MT-D,
WO-2024-00108,P1-CR1-INS01,2024-01-22 07:11,2024-01-22 09:48,2024-01-22 14:42,TBM,ELE,100,N,MT-1017,MT-C,전류 불안정
WO-2024-00109,P1-BF1-HSV03,2024-01-22 14:19,2024-01-22 19:02,2024-01-22 19:56,BM,,54,N,MT-1014,MT-C,재점검 필요
WO-2024-00110,P1-SM1-DCF01,2024-01-22 14:39,2024-01-22 15:40,2024-01-22 19:18,TBM,,140,N,MT-1018,MT-C,
WO-2024-00111,P1-CC1-INS01,2024-01-22 14:41,2024-01-26 04:53,2024-01-26 09:02,CBM,MAL,248,N,MT-1013,MT-C,오작동 발생
WO-2024-00112,P1-SP2-EXF01,2024-01-22 15:25,2024-01-22 16:57,2024-01-22 17:58,TBM,,20,N,MT-1017,MT-C,월간 점검 완료
WO-2024-00113,P1-SP2-MIX01,2024-01-22 15:27,2024-01-22 15:36,2024-01-22 20:20,TBM,,284,N,MT-1016,MT-C,
WO-2024-00114,P1-BF2-BLW01,2024-01-22 19:00,2024-01-30 09:30,2024-01-30 17:58,CBM,UNB,507,N,MT-1004,MT-A,진동 상승
WO-2024-00115,P1-SP2-CRS01,2024-01-22 17:17,2024-01-22 22:40,2024-01-23 00:31,BM,LUB,105,N,MT-1015,MT-C,
WO-2024-00116,P1-BF2-PCI01,2024-01-23 06:27,2024-01-23 07:22,2024-01-23 13:21,BM,LUB,358,N,MT-1023,MT-D,
WO-2024-00117,P1-CC2-LDT01,2024-01-23 06:40,2024-01-23 08:19,2024-01-23 09:25,TBM,,30,Y,MT-1020,MT-D,  계획 점검검 수행 
WO-2024-00118,P1-CC2-SEG01,2024-01-23 06:58,2024-01-23 07:07,2024-01-23 09:17,TBM,WER,130,N,MT-1019,MT-D,"1호기 재발, 마모량 초과"
WO-2024-00119,P1-CC1-SEG03,2024-01-23 15:16,2024-01-23 18:09,2024-01-23 20:22,BM,WER,40,Y,MT-1021,MT-D,"3호기 재발, 라이너 마모"
WO-2024-00120,P1-CR1-DCF01,2024-01-23 15:39,2024-01-23 21:32,2024-01-24 01:00,BM,ETC,207,N,MT-1024,MT-D,
WO-2024-00121,P1-CR1-WLD01,2024-01-24 01:30,2024-01-31 10:52,2024-01-31 19:18,CBM,ETC,470,Y,MT-1017,MT-C,특이사항
WO-2024-00122,P1-SM1-LFR01,2024-01-24 15:26,2024-01-24 16:30,2024-01-24 17:43,TBM,,72,N,MT-1001,MT-A,정기점검 실시
WO-2024-00123,P1-SP1-SCR02,2024-01-24 23:48,2024-01-25 04:06,2024-01-25 11:30,BM,,443,Y,MT-1013,MT-C,원인 미상
WO-2024-00124,P1-CC2-SEG03,2024-01-25 06:20,2024-01-25 08:26,2024-01-25 09:13,BM,LUB,46,N,MT-1007,MT-B,"3호기 재발, 급유 불량"
WO-2024-00125,P1-CC2-EMS01,2024-01-25 07:18,2024-01-25 08:37,2024-01-25 13:06,TBM,,269,N,MT-1009,MT-B,
WO-2024-00126,P1-CC2-SEG04,2024-01-25 14:56,2024-01-25 16:33,2024-01-25 17:32,TBM,,0,N,MT-1008,MT-B,순회점검 후속
WO-2024-00127,P1-BF2-HSV03,2024-01-25 15:37,2024-01-25 15:45,2024-01-25 17:54,TBM,,0,N,MT-1008,MT-B,정기점검 - 이상없음
WO-2024-00128,P1-CC1-PMP01,2024-01-25 18:32,2024-02-04 00:56,2024-02-04 06:16,CBM,UNB,225,N,MT-1022,MT-D,"1호기 재발, 회전체 밸런스 불량"
WO-2024-00129,P1-CC1-EMS01,2024-01-25 23:07,2024-01-26 02:08,2024-01-26 12:01,BM,ETC,395,N,MT-1021,MT-D,확인 중
WO-2024-00130,P1-CC2-PMP02,2024-01-25 23:59,2024-01-26 01:11,2024-01-26 05:38,TBM,,185,N,MT-1021,MT-D,"2호기 재발, TBM 점검"
WO-2024-00131,P1-CC2-SEG04,2024-01-26 14:58,2024-01-26 18:16,2024-01-27 03:44,BM,ETC,210,N,MT-1014,MT-C,"4호기 재발, 특이사항"
WO-2024-00132,P1-SM1-LFR01,2024-01-26 19:52,2024-01-26 20:08,2024-01-27 04:24,BM,MAL,495,N,MT-1005,MT-A,제어 이상
WO-2024-00133,P1-CC1-SEG04,2024-01-26 22:34,2024-01-26 23:35,2024-01-27 20:36,BM,SEL,800,N,MT-1002,MT-A,씰 누수
WO-2024-00134,P1-CC1-SEG03,2024-01-27 01:59,2024-01-27 02:08,2024-01-27 05:45,TBM,,0,N,MT-1011,MT-B,정기점검 - 이상없음
WO-2024-00135,P1-SP2-DCF01,2024-01-26 23:14,2024-01-27 00:34,2024-01-27 05:30,TBM,,180,N,MT-1003,MT-A,정기점검 실시
WO-2024-00136,P1-SP2-AGT01,2024-01-27 06:20,2024-01-27 09:14,2024-01-27 11:31,TBM,,0,N,MT-1022,MT-D,순회점검 후속
WO-2024-00137,P1-SM1-BOF01,2024-01-27 14:31,2024-01-27 16:29,2024-01-27 19:15,TBM,,165,N,MT-1020,MT-D,
WO-2024-00138,P1-SM1-RHD01,2024-01-27 14:40,2024-01-27 15:02,2024-01-27 18:20,TBM,,197,N,MT-1021,MT-D,점검 이상없음
WO-2024-00139,P1-CR1-PMP01,2024-01-27 18:43,2024-01-27 21:05,2024-01-28 02:03,TBM,UNB,297,N,MT-1010,MT-B,회전체 밸런스 불량
WO-2024-00140,P1-BF2-BLW01,2024-01-27 22:02,2024-01-28 00:40,2024-01-28 05:26,TBM,,240,N,MT-1010,MT-B,점검 이상없음
WO-2024-00141,P1-SM1-RHD01,2024-01-27 22:33,2024-01-28 03:46,2024-01-28 04:27,BM,,0,N,MT-1010,MT-B,확인 중
WO-2024-00142,P1-CC2-INS01,2024-01-27 23:07,2024-02-05 00:54,2024-02-05 08:44,CBM,MAL,470,Y,MT-1012,MT-B,오작동 발생
WO-2024-00143,P1-BF1-HSV03,2024-01-28 10:23,2024-01-28 15:43,2024-01-29 00:59,BM,ETC,556,N,MT-1001,MT-A,현상 재현 안됨
WO-2024-00144,P1-SP2-SCR02,2024-01-28 14:59,2024-01-28 15:31,2024-01-28 23:30,BM,MAL,479,N,MT-1001,MT-A,
WO-2024-00145,P1-CC1-SEG01,2024-01-28 15:14,2024-01-28 18:19,2024-01-29 01:24,BM,SEL,285,N,MT-1002,MT-A,씰 누수
WO-2024-00146,P1-CC2-SEG04,2024-01-29 06:03,2024-01-29 09:30,2024-01-29 11:32,BM,WER,105,Y,MT-1010,MT-B,"4호기 재발, 라이너 마모"
WO-2024-00147,P1-CC2-MLD01,2024-01-29 11:24,2024-01-29 16:55,2024-01-30 00:35,BM,WER,459,Y,MT-1011,MT-B,라이너 마모
WO-2024-00148,P1-CC1-INS01,2024-01-29 14:56,2024-01-29 20:54,2024-01-30 06:20,BM,MAL,0,N,MT-1012,MT-B,오작동 발생
WO-2024-00149,P1-SP2-AGT01,2024-01-29 23:37,2024-01-30 14:51,2024-01-30 16:51,CBM,ELE,119,N,MT-1021,MT-D,ELE 이상
WO-2024-00150,P1-SP1-EXF01,2024-01-30 03:48,2024-01-30 06:27,2024-01-30 07:22,BM,ELE,30,N,MT-1004,MT-A,"1호기 재발, 인버터 알람"
WO-2024-00151,P1-CR1-WLD01,2024-01-30 07:52,2024-02-01 22:27,2024-02-02 08:19,CBM,ELE,591,N,MT-1017,MT-C,ELE 이상
WO-2024-00152,P1-CC2-PMP01,2024-01-30 11:58,2024-01-30 17:48,2024-01-30 19:08,BM,LUB,25,N,MT-1015,MT-C,누유 확인
WO-2024-00153,P1-CR1-PKL01,2024-01-30 22:57,2024-01-31 04:36,2024-01-31 05:20,BM,SEL,44,Y,MT-1003,MT-A,
WO-2024-00154,P1-SP1-DCF02,2024-02-01 02:06,2024-02-01 02:35,2024-02-01 07:02,TBM,,266,N,MT-1018,MT-C,"2호기 재발, 월간 점검 완료"
WO-2024-00155,P1-SM1-LFR01,2024-02-01 06:36,2024-02-01 08:44,2024-02-01 12:50,BM,ELE,160,Y,MT-1006,MT-A,절연 저하
WO-2024-00156,P1-CR1-WLD01,2024-02-01 07:32,2024-02-01 11:23,2024-02-01 15:41,TBM,,258,Y,MT-1005,MT-A,TBM 점검
WO-2024-00157,P1-CC1-MLD01,2024-02-01 15:54,2024-02-01 16:56,2024-02-01 17:44,TBM,,45,N,MT-1002,MT-A,
WO-2024-00158,P1-SP1-MIX01,2024-02-01 20:21,2024-02-01 23:46,2024-02-02 00:40,TBM,,20,N,MT-1014,MT-C,"1호기 재발, TBM 점검"
WO-2024-00159,P1-CR1-WLD01,2024-02-01 23:01,2024-02-10 05:38,2024-02-10 09:40,CBM,ETC,242,N,MT-1017,MT-C,원인 미상
WO-2024-00160,P1-BF2-CAS01,2024-02-01 23:04,2024-02-02 01:09,2024-02-02 06:04,TBM,,0,N,MT-1018,MT-C,점검 이상없음
WO-2024-00161,P1-CC1-MLD01,2024-02-02 04:36,2024-02-02 10:24,2024-02-02 11:05,BM,SEL,35,N,MT-1022,MT-D,
WO-2024-00162,P1-SM1-CRN02,2024-02-02 12:22,2024-02-02 15:13,2024-02-02 16:52,TBM,,85,N,MT-1012,MT-B,월간 점검 완료
WO-2024-00163,P1-SP2-IGF01,2024-02-02 14:52,2024-02-02 15:27,2024-02-03 06:08,BM,WER,320,Y,MT-1012,MT-B,WEAR 확인
WO-2024-00164,P1-SP1-DCF02,2024-02-02 14:53,2024-02-02 18:02,2024-02-02 21:18,BM,WER,195,N,MT-1012,MT-B,마모량 초과
